id;first_name; nombre
1062;ABDELKIM;7
1063;ABDELKIOUM;1
1064;ABDELKIR;2
1065;ABDELKIRIM;1
1066;ABDELKIRM;3
1067;ABDELKKIM;1
1068;ABDELKLIM;1
1069;ABDELKODDOUS;1
1070;ABDELKODOUS;1
1071;ABDELKORAN;1
1072;ABDELKOUAD;1
1073;ABDELKREM;1
1074;ABDELKRIH;1
1075;ABDELKRIM;1702
1076;ABDELKRIMABD;1
1077;ABDELKRIME;11
1078;ABDELKRIN;5
1079;ABDELKRINE;1
1080;ABDELKRINI;1
1081;ABDELKTIM;1
1082;ABDELL;1
1083;ABDELLA;20
1084;ABDELLAALI;2
1085;ABDELLAAZIZ;1
1086;ABDELLACH;2
1087;ABDELLACK;3
1088;ABDELLADID;1
1089;ABDELLADIF;1
1090;ABDELLADIM;1
1091;ABDELLAFID;1
1092;ABDELLAFIDA;1
1093;ABDELLAFIDE;1
1094;ABDELLAH;2059
1095;ABDELLAHAB;2
1096;ABDELLAHALE;1
1097;ABDELLAHFID;1
1098;ABDELLAHI;4
1099;ABDELLAHIF;1
1100;ABDELLAHIM;1
1101;ABDELLAHTIF;1
1102;ABDELLAI;1
1103;ABDELLAK;8
1104;ABDELLAKIM;1
1105;ABDELLAKY;1
1106;ABDELLAL;1
1107;ABDELLALI;40
1108;ABDELLALIF;1
1109;ABDELLAM;2
1110;ABDELLAMAN;1
1111;ABDELLAMID;2
